element,guild,response,species
functional,trophic,omnivore,amcr
functional,trophic,omnivore,amgo
functional,trophic,omnivore,amro
functional,trophic,omnivore,baor
functional,trophic,omnivore,bhco
functional,trophic,omnivore,blja
functional,trophic,omnivore,bobo
functional,trophic,omnivore,brth
functional,trophic,omnivore,chsp
functional,trophic,omnivore,cogr
functional,trophic,omnivore,cora
functional,trophic,omnivore,deju
functional,trophic,omnivore,eabl
functional,trophic,omnivore,eame
functional,trophic,omnivore,eato
functional,trophic,omnivore,eust
functional,trophic,omnivore,ficr
functional,trophic,omnivore,fisp
functional,trophic,omnivore,grca
functional,trophic,omnivore,grsp
functional,trophic,omnivore,hesp
functional,trophic,omnivore,hola
functional,trophic,omnivore,inbu
functional,trophic,omnivore,noca
functional,trophic,omnivore,nomo
functional,trophic,omnivore,rbgr
functional,trophic,omnivore,rodo
functional,trophic,omnivore,ropi
functional,trophic,omnivore,rthu
functional,trophic,omnivore,rwbl
functional,trophic,omnivore,sasp
functional,trophic,omnivore,sosp
functional,trophic,omnivore,swsp
functional,trophic,omnivore,veer
functional,trophic,omnivore,vesp
functional,trophic,omnivore,woth
functional,trophic,omnivore,wtsp
functional,trophic,omnivore,ybch
functional,trophic,omnivore,ybsa
functional,insectivore_forage,bark_prober,baww
functional,insectivore_forage,bark_prober,brcr
functional,insectivore_forage,bark_prober,dowo
functional,insectivore_forage,bark_prober,hawo
functional,insectivore_forage,bark_prober,piwa
functional,insectivore_forage,bark_prober,piwo
functional,insectivore_forage,bark_prober,rbnu
functional,insectivore_forage,bark_prober,rbwo
functional,insectivore_forage,bark_prober,rhwo
functional,insectivore_forage,bark_prober,wbnu
functional,insectivore_forage,bark_prober,ytwa
functional,insectivore_forage,ground_gleaner,heth
functional,insectivore_forage,ground_gleaner,kewa
functional,insectivore_forage,ground_gleaner,mowa
functional,insectivore_forage,ground_gleaner,nofl
functional,insectivore_forage,ground_gleaner,oven
functional,insectivore_forage,ground_gleaner,wewa
functional,insectivore_forage,ground_gleaner,wiwr
functional,insectivore_forage,upper_canopy,bggn
functional,insectivore_forage,upper_canopy,blbw
functional,insectivore_forage,upper_canopy,btnw
functional,insectivore_forage,upper_canopy,cerw
functional,insectivore_forage,upper_canopy,gwwa
functional,insectivore_forage,upper_canopy,nopa
functional,insectivore_forage,upper_canopy,oror
functional,insectivore_forage,upper_canopy,revi
functional,insectivore_forage,upper_canopy,scta
functional,insectivore_forage,upper_canopy,suta
functional,insectivore_forage,upper_canopy,wavi
functional,insectivore_forage,upper_canopy,ytvi
functional,insectivore_forage,upper_canopy,ytwa
functional,insectivore_forage,lower_canopy,amre
functional,insectivore_forage,lower_canopy,bbcu
functional,insectivore_forage,lower_canopy,bcch
functional,insectivore_forage,lower_canopy,bhvi
functional,insectivore_forage,lower_canopy,btbw
functional,insectivore_forage,lower_canopy,bwwa
functional,insectivore_forage,lower_canopy,cach
functional,insectivore_forage,lower_canopy,carw
functional,insectivore_forage,lower_canopy,cawa
functional,insectivore_forage,lower_canopy,coye
functional,insectivore_forage,lower_canopy,cswa
functional,insectivore_forage,lower_canopy,gcki
functional,insectivore_forage,lower_canopy,howa
functional,insectivore_forage,lower_canopy,howr
functional,insectivore_forage,lower_canopy,mawa
functional,insectivore_forage,lower_canopy,nawa
functional,insectivore_forage,lower_canopy,prwa
functional,insectivore_forage,lower_canopy,tuti
functional,insectivore_forage,lower_canopy,wevi
functional,insectivore_forage,lower_canopy,ybcu
functional,insectivore_forage,lower_canopy,yewa
functional,insectivore_forage,lower_canopy,mywa
functional,insectivore_forage,lower_canopy,yrwa
functional,insectivore_forage,lower_canopy,ywar
compositional,population_limiting,predator_parasite,amcr
compositional,population_limiting,predator_parasite,bhco
compositional,population_limiting,predator_parasite,blja
compositional,population_limiting,predator_parasite,cogr
compositional,population_limiting,predator_parasite,cora
compositional,population_limiting,predator_parasite,wust
compositional,population_limiting,predator_parasite,eust
compositional,population_limiting,predator_parasite,ficr
compositional,origin,exotic,eust
compositional,origin,exotic,hofi
compositional,origin,exotic,hosp
compositional,origin,exotic,rodo
compositional,migratory,resident,amcr
compositional,migratory,resident,amgo
compositional,migratory,resident,amro
compositional,migratory,resident,bcch
compositional,migratory,resident,blja
compositional,migratory,resident,brcr
compositional,migratory,resident,cach
compositional,migratory,resident,carw
compositional,migratory,resident,cedw
compositional,migratory,resident,cora
compositional,migratory,resident,deju
compositional,migratory,resident,dowo
compositional,migratory,resident,eabl
compositional,migratory,resident,eust
compositional,migratory,resident,ficr
compositional,migratory,resident,hawo
compositional,migratory,resident,hofi
compositional,migratory,resident,hola
compositional,migratory,resident,hosp
compositional,migratory,resident,modo
compositional,migratory,resident,noca
compositional,migratory,resident,nofl
compositional,migratory,resident,nomo
compositional,migratory,resident,piwo
compositional,migratory,resident,pufi
compositional,migratory,resident,rbnu
compositional,migratory,resident,rbwo
compositional,migratory,resident,rodo
compositional,migratory,resident,sosp
compositional,migratory,resident,tuti
compositional,migratory,resident,wbnu
compositional,migratory,temperate_migrant,bggn
compositional,migratory,temperate_migrant,bhco
compositional,migratory,temperate_migrant,bhvi
compositional,migratory,temperate_migrant,brth
compositional,migratory,temperate_migrant,chsp
compositional,migratory,temperate_migrant,cogr
compositional,migratory,temperate_migrant,coye
compositional,migratory,temperate_migrant,eame
compositional,migratory,temperate_migrant,eaph
compositional,migratory,temperate_migrant,eato
compositional,migratory,temperate_migrant,fisp
compositional,migratory,temperate_migrant,gcki
compositional,migratory,temperate_migrant,grca
compositional,migratory,temperate_migrant,grsp
compositional,migratory,temperate_migrant,hesp
compositional,migratory,temperate_migrant,heth
compositional,migratory,temperate_migrant,howr
compositional,migratory,temperate_migrant,piwa
compositional,migratory,temperate_migrant,rhwo
compositional,migratory,temperate_migrant,rwbl
compositional,migratory,temperate_migrant,sasp
compositional,migratory,temperate_migrant,swsp
compositional,migratory,temperate_migrant,tres
compositional,migratory,temperate_migrant,vesp
compositional,migratory,temperate_migrant,wevi
compositional,migratory,temperate_migrant,wiwr
compositional,migratory,temperate_migrant,wtsp
compositional,migratory,temperate_migrant,ybsa
compositional,migratory,temperate_migrant,yrwa
compositional,migratory,temperate_migrant,mywa
compositional,migratory,temperate_migrant,ytwa
compositional,num_broods,single-brood,alfl
compositional,num_broods,single-brood,amcr
compositional,num_broods,single-brood,amgo
compositional,num_broods,single-brood,amre
compositional,num_broods,single-brood,baor
compositional,num_broods,single-brood,baww
compositional,num_broods,single-brood,bbcu
compositional,num_broods,single-brood,bcch
compositional,num_broods,single-brood,bggn
compositional,num_broods,single-brood,bhvi
compositional,num_broods,single-brood,blbw
compositional,num_broods,single-brood,bobo
compositional,num_broods,single-brood,brcr
compositional,num_broods,single-brood,btbw
compositional,num_broods,single-brood,btnw
compositional,num_broods,single-brood,bwwa
compositional,num_broods,single-brood,cach
compositional,num_broods,single-brood,cawa
compositional,num_broods,single-brood,cedw
compositional,num_broods,single-brood,cerw
compositional,num_broods,single-brood,chsw
compositional,num_broods,single-brood,clsw
compositional,num_broods,single-brood,cogr
compositional,num_broods,single-brood,cora
compositional,num_broods,single-brood,cswa
compositional,num_broods,single-brood,dowo
compositional,num_broods,single-brood,eaki
compositional,num_broods,single-brood,eawp
compositional,num_broods,single-brood,ficr
compositional,num_broods,single-brood,gcfl
compositional,num_broods,single-brood,gwwa
compositional,num_broods,single-brood,hawo
compositional,num_broods,single-brood,howa
compositional,num_broods,single-brood,kewa
compositional,num_broods,single-brood,lefl
compositional,num_broods,single-brood,lowa
compositional,num_broods,single-brood,mawa
compositional,num_broods,single-brood,mowa
compositional,num_broods,single-brood,nawa
compositional,num_broods,single-brood,nofl
compositional,num_broods,single-brood,nopa
compositional,num_broods,single-brood,nowa
compositional,num_broods,single-brood,nrws
compositional,num_broods,single-brood,oror
compositional,num_broods,single-brood,oven
compositional,num_broods,single-brood,piwa
compositional,num_broods,single-brood,piwo
compositional,num_broods,single-brood,prwa
compositional,num_broods,single-brood,pufi
compositional,num_broods,single-brood,rbgr
compositional,num_broods,single-brood,rbnu
compositional,num_broods,single-brood,rbwo
compositional,num_broods,single-brood,revi
compositional,num_broods,single-brood,scta
compositional,num_broods,single-brood,suta
compositional,num_broods,single-brood,tres
compositional,num_broods,single-brood,tuti
compositional,num_broods,single-brood,veer
compositional,num_broods,single-brood,wavi
compositional,num_broods,single-brood,wbnu
compositional,num_broods,single-brood,wevi
compositional,num_broods,single-brood,wewa
compositional,num_broods,single-brood,wifl
compositional,num_broods,single-brood,wiwr
compositional,num_broods,single-brood,wtsp
compositional,num_broods,single-brood,ybcu
compositional,num_broods,single-brood,ybsa
compositional,num_broods,single-brood,ywar
compositional,num_broods,single-brood,yewa
compositional,num_broods,single-brood,ytvi
compositional,num_broods,single-brood,ytwa
structural,nest_placement,forest_ground,baww
structural,nest_placement,forest_ground,cawa
structural,nest_placement,forest_ground,deju
structural,nest_placement,forest_ground,eato
structural,nest_placement,forest_ground,heth
structural,nest_placement,forest_ground,kewa
structural,nest_placement,forest_ground,lowa
structural,nest_placement,forest_ground,mowa
structural,nest_placement,forest_ground,nawa
structural,nest_placement,forest_ground,nowa
structural,nest_placement,forest_ground,oven
structural,nest_placement,forest_ground,veer
structural,nest_placement,forest_ground,wewa
structural,nest_placement,forest_ground,wtsp
structural,nest_placement,open_ground,bobo
structural,nest_placement,open_ground,bwwa
structural,nest_placement,open_ground,eame
structural,nest_placement,open_ground,fisp
structural,nest_placement,open_ground,grsp
structural,nest_placement,open_ground,gwwa
structural,nest_placement,open_ground,hesp
structural,nest_placement,open_ground,hola
structural,nest_placement,open_ground,sasp
structural,nest_placement,open_ground,sosp
structural,nest_placement,open_ground,swsp
structural,nest_placement,open_ground,vesp
structural,nest_placement,shrub,alfl
structural,nest_placement,shrub,amgo
structural,nest_placement,shrub,bbcu
structural,nest_placement,shrub,blgr
structural,nest_placement,shrub,brth
structural,nest_placement,shrub,btbw
structural,nest_placement,shrub,chsp
structural,nest_placement,shrub,coye
structural,nest_placement,shrub,cswa
structural,nest_placement,shrub,grca
structural,nest_placement,shrub,howa
structural,nest_placement,shrub,inbu
structural,nest_placement,shrub,mawa
structural,nest_placement,shrub,noca
structural,nest_placement,shrub,nomo
structural,nest_placement,shrub,prwa
structural,nest_placement,shrub,revi
structural,nest_placement,shrub,rwbl
structural,nest_placement,shrub,wevi
structural,nest_placement,shrub,wifl
structural,nest_placement,shrub,ybch
structural,nest_placement,shrub,ybcu
structural,nest_placement,shrub,yewa
structural,nest_placement,shrub,ywar
structural,nest_placement,canopy_nester,acfl
structural,nest_placement,canopy_nester,amcr
structural,nest_placement,canopy_nester,amre
structural,nest_placement,canopy_nester,amro
structural,nest_placement,canopy_nester,baor
structural,nest_placement,canopy_nester,bggn
structural,nest_placement,canopy_nester,bhvi
structural,nest_placement,canopy_nester,blja
structural,nest_placement,canopy_nester,blbw
structural,nest_placement,canopy_nester,btnw
structural,nest_placement,canopy_nester,cedw
structural,nest_placement,canopy_nester,cerw
structural,nest_placement,canopy_nester,cogr
structural,nest_placement,canopy_nester,cora
structural,nest_placement,canopy_nester,eaki
structural,nest_placement,canopy_nester,eawp
structural,nest_placement,canopy_nester,ficr
structural,nest_placement,canopy_nester,gcki
structural,nest_placement,canopy_nester,lefl
structural,nest_placement,canopy_nester,modo
structural,nest_placement,canopy_nester,nopa
structural,nest_placement,canopy_nester,oror
structural,nest_placement,canopy_nester,piwa
structural,nest_placement,canopy_nester,pufi
structural,nest_placement,canopy_nester,rbgr
structural,nest_placement,canopy_nester,rthu
structural,nest_placement,canopy_nester,scta
structural,nest_placement,canopy_nester,suta
structural,nest_placement,canopy_nester,wavi
structural,nest_placement,canopy_nester,woth
structural,nest_placement,canopy_nester,mywa
structural,nest_placement,canopy_nester,yrwa
structural,nest_placement,canopy_nester,ytvi
structural,nest_placement,canopy_nester,ytwa
structural,primary_habitat,forest_generalist,bbcu
structural,primary_habitat,forest_generalist,bcch
structural,primary_habitat,forest_generalist,bggn
structural,primary_habitat,forest_generalist,blja
structural,primary_habitat,forest_generalist,carw
structural,primary_habitat,forest_generalist,coye
structural,primary_habitat,forest_generalist,deju
structural,primary_habitat,forest_generalist,dowo
structural,primary_habitat,forest_generalist,eaph
structural,primary_habitat,forest_generalist,eato
structural,primary_habitat,forest_generalist,eawp
structural,primary_habitat,forest_generalist,gcfl
structural,primary_habitat,forest_generalist,grca
structural,primary_habitat,forest_generalist,noca
structural,primary_habitat,forest_generalist,nofl
structural,primary_habitat,forest_generalist,nopa
structural,primary_habitat,forest_generalist,pufi
structural,primary_habitat,forest_generalist,rbgr
structural,primary_habitat,forest_generalist,rbwo
structural,primary_habitat,forest_generalist,revi
structural,primary_habitat,forest_generalist,suta
structural,primary_habitat,forest_generalist,tuti
structural,primary_habitat,forest_generalist,wevi
structural,primary_habitat,forest_generalist,woth
structural,primary_habitat,forest_generalist,ybcu
structural,primary_habitat,forest_generalist,ybsa
structural,primary_habitat,forest_generalist,ytvi
structural,primary_habitat,interior_forest,acfl
structural,primary_habitat,interior_forest,amre
structural,primary_habitat,interior_forest,baww
structural,primary_habitat,interior_forest,bhvi
structural,primary_habitat,interior_forest,blbw
structural,primary_habitat,interior_forest,brcr
structural,primary_habitat,interior_forest,btbw
structural,primary_habitat,interior_forest,btnw
structural,primary_habitat,interior_forest,cawa
structural,primary_habitat,interior_forest,cerw
structural,primary_habitat,interior_forest,cora
structural,primary_habitat,interior_forest,gcki
structural,primary_habitat,interior_forest,hawo
structural,primary_habitat,interior_forest,heth
structural,primary_habitat,interior_forest,howa
structural,primary_habitat,interior_forest,kewa
structural,primary_habitat,interior_forest,lowa
structural,primary_habitat,interior_forest,mawa
structural,primary_habitat,interior_forest,nowa
structural,primary_habitat,interior_forest,oven
structural,primary_habitat,interior_forest,piwa
structural,primary_habitat,interior_forest,piwo
structural,primary_habitat,interior_forest,rbnu
structural,primary_habitat,interior_forest,scta
structural,primary_habitat,interior_forest,veer
structural,primary_habitat,interior_forest,wbnu
structural,primary_habitat,interior_forest,wewa
structural,primary_habitat,interior_forest,wiwr
structural,primary_habitat,interior_forest,yrwa
structural,primary_habitat,interior_forest,mywa
structural,primary_habitat,interior_forest,ytwa
